영화 이름,개봉날짜,d-day
범죄도시3,,"2023.05.31 
                                개봉
D-7"
SUGA Agust D TOUR D-DAY in JAPAN LIVE VIEWING,,"2023.06.03 
                                개봉
D-10"
메이플스토리 2023 SUMMER SHOWCASE NEW AGE,,"2023.06.10 
                                개봉
D-17"
사슴의 왕,,"2023.05.25 
                                    개봉
D-1"
[인사이터 X CGV] 공간 기획과 브랜딩,,"2023.05.26 
                                    개봉
D-2"
트랜스포머,,"2023.05.26 
                                    개봉
D-2"
TOMORROW X TOGETHER WORLD TOUR  「ACT SWEET MIRAGE」 IN LA - LIVE VIEWING,,"2023.05.28 
                                    개봉
D-4"
[사이다경제] 경기가 어려울 때 은행에 저축하지 말고 애플에 저축하라,,"2023.05.30 
                                    개봉
D-6"
범죄도시3,,"2023.05.31 
                                    개봉
D-7"
라이드 온,,"2023.05.31 
                                    개봉
D-7"
극장판 포켓몬스터 DP-아르세우스 초극의 시공으로,,"2023.05.31 
                                    개봉
D-7"
말없는 소녀,,"2023.05.31 
                                    개봉
D-7"
범죄도시3 with 싱글톤하이볼,,"2023.05.31 
                                    개봉
D-7"
드림팰리스,,"2023.05.31 
                                    개봉
D-7"
사랑하는 당신에게,,"2023.05.31 
                                    개봉
D-7"
슬기로운 아내 수업,,"2023.05 
                                    개봉예정"
울지마 엄마,,"2023.05 
                                    개봉예정"
뽀로로 극장판 보물섬 대모험,,"2023.06.01 
                                    재개봉
D-8"
극장판 엄마 까투리-도시로 간 까투리 가족,,"2023.06.01 
                                    재개봉
D-8"
SUGA Agust D TOUR D-DAY in JAPAN LIVE VIEWING,,"2023.06.03 
                                    개봉
D-10"
(라이브뷰잉) SANKYO presents Walkure FINAL LIVE TOUR 2023 ～Last Mission～ LIVE VIEWING,,"2023.06.04 
                                    개봉
D-11"
부기맨,,"2023.06.06 
                                    개봉
D-13"
트랜스포머-비스트의 서막,,"2023.06.06 
                                    개봉
D-13"
그 여름,,"2023.06.07 
                                    개봉
D-14"
빈 필하모닉 정기연주회 - 헤르베르트 블롬슈테트 & 레오니다스 카바코스,,"2023.06.07 
                                    개봉
D-14"
이윽고 바다에 닿다,,"2023.06.07 
                                    개봉
D-14"
익스트림 페스티벌,,"2023.06.07 
                                    개봉
D-14"
안나푸르나,,"2023.06.08 
                                    개봉
D-15"
메이플스토리 2023 SUMMER SHOWCASE NEW AGE,,"2023.06.10 
                                    개봉
D-17"
너의 눈을 들여다보면,,"2023.06.14 
                                    개봉
D-21"
블랙 워터-어비스,,"2023.06.14 
                                    개봉
D-21"
실버맨,,"2023.06.14 
                                    개봉
D-21"
엘리멘탈,,"2023.06.14 
                                    개봉
D-21"
수라,,"2023.06.21 
                                    개봉
D-28"
[사이다경제]1분 투자로 1천만 원 아낀다! <부동산 절세 무작정 따라 하기> 저자 특강,,"2023.06.27 
                                    개봉
D-34"
애스터로이드 시티,,"2023.06.28 
                                    개봉
D-35"
여름날 우리,,"2023.06.28 
                                    개봉
D-35"
하나님의 마음,,"2023.06.28 
                                    개봉
D-35"
206-사라지지 않는,,"2023.06 
                                    개봉예정"
기적을 믿는 소녀,,"2023.06 
                                    개봉예정"
김재훈의 피.앤.오,,"2023.06 
                                    개봉예정"
노트르담 온 파이어,,"2023.06 
                                    개봉예정"
송암동,,"2023.06 
                                    개봉예정"
앨리스,,"2023.06 
                                    개봉예정"
어디로 가고 싶으신가요,,"2023.06 
                                    개봉예정"
윌리엄과 윌리엄의 윌리엄들,,"2023.06 
                                    개봉예정"
인디아나 존스-운명의 다이얼,,"2023.06 
                                    개봉예정"
청춘소음,,"2023.06 
                                    개봉예정"
보 이즈 어프레이드,,"2023.07.05 
                                    개봉
D-42"
빈틈없는 사이,,"2023.07 
                                    개봉예정"
하얀 봄,,"2023.07 
                                    개봉예정"
더 문,,"2023.08.02 
                                    개봉
D-70"
베니스 유령 살인사건,,"2023.09 
                                    개봉예정"
