,영화 이름,개봉 날짜,D-DAY,예매율
0,범죄도시3,2023.05.31,D-7,39.5%
1,SUGA Agust D TOUR D-DAY in JAPAN LIVE VIEWING,2023.06.03,D-10,2.4%
2,메이플스토리 2023 SUMMER SHOWCASE NEW AGE,2023.06.10,D-17,1.1%
3,사슴의 왕,2023.05.25,D-1,0.9%
4,[인사이터 X CGV] 공간 기획과 브랜딩,2023.05.26,D-2,0.0%
5,트랜스포머,2023.05.26,D-2,0.0%
6,TOMORROW X TOGETHER WORLD TOUR  「ACT SWEET MIRAGE」 IN LA - LIVE VIEWING,2023.05.28,D-4,0.9%
7,[사이다경제] 경기가 어려울 때 은행에 저축하지 말고 애플에 저축하라,2023.05.30,D-6,0.0%
8,범죄도시3,2023.05.31,D-7,39.5%
9,라이드 온,2023.05.31,D-7,0.8%
10,극장판 포켓몬스터 DP-아르세우스 초극의 시공으로,2023.05.31,D-7,0.4%
11,말없는 소녀,2023.05.31,D-7,0.1%
12,범죄도시3 with 싱글톤하이볼,2023.05.31,D-7,0.0%
13,드림팰리스,2023.05.31,D-7,0.0%
14,사랑하는 당신에게,2023.05.31,D-7,0.0%
15,슬기로운 아내 수업,2023.05,,0.0%
16,울지마 엄마,2023.05,,0.0%
17,뽀로로 극장판 보물섬 대모험,2023.06.01,D-8,0.0%
18,극장판 엄마 까투리-도시로 간 까투리 가족,2023.06.01,D-8,0.0%
19,SUGA Agust D TOUR D-DAY in JAPAN LIVE VIEWING,2023.06.03,D-10,2.4%
20,(라이브뷰잉) SANKYO presents Walkure FINAL LIVE TOUR 2023 ～Last Mission～ LIVE VIEWING,2023.06.04,D-11,0.1%
21,부기맨,2023.06.06,D-13,0.0%
22,트랜스포머-비스트의 서막,2023.06.06,D-13,0.0%
23,그 여름,2023.06.07,D-14,0.0%
24,빈 필하모닉 정기연주회 - 헤르베르트 블롬슈테트 & 레오니다스 카바코스,2023.06.07,D-14,0.0%
25,이윽고 바다에 닿다,2023.06.07,D-14,0.0%
26,익스트림 페스티벌,2023.06.07,D-14,0.0%
27,안나푸르나,2023.06.08,D-15,0.0%
28,메이플스토리 2023 SUMMER SHOWCASE NEW AGE,2023.06.10,D-17,1.1%
29,너의 눈을 들여다보면,2023.06.14,D-21,0.0%
30,블랙 워터-어비스,2023.06.14,D-21,0.0%
31,실버맨,2023.06.14,D-21,0.0%
32,엘리멘탈,2023.06.14,D-21,0.0%
33,수라,2023.06.21,D-28,0.0%
34,[사이다경제]1분 투자로 1천만 원 아낀다! <부동산 절세 무작정 따라 하기> 저자 특강,2023.06.27,D-34,0.0%
35,애스터로이드 시티,2023.06.28,D-35,0.0%
36,여름날 우리,2023.06.28,D-35,0.0%
37,하나님의 마음,2023.06.28,D-35,0.0%
38,206-사라지지 않는,2023.06,,0.0%
39,기적을 믿는 소녀,2023.06,,0.0%
40,김재훈의 피.앤.오,2023.06,,0.0%
41,노트르담 온 파이어,2023.06,,0.0%
42,송암동,2023.06,,0.0%
43,앨리스,2023.06,,0.0%
44,어디로 가고 싶으신가요,2023.06,,0.0%
45,윌리엄과 윌리엄의 윌리엄들,2023.06,,0.0%
46,인디아나 존스-운명의 다이얼,2023.06,,0.0%
47,청춘소음,2023.06,,0.0%
48,보 이즈 어프레이드,2023.07.05,D-42,0.0%
49,빈틈없는 사이,2023.07,,0.0%
50,하얀 봄,2023.07,,0.0%
51,더 문,2023.08.02,D-70,0.0%
52,베니스 유령 살인사건,2023.09,,0.0%
