,product_name,price,price2
0,상품명 : Rock Heart Derby Shoes “ Heart Hair Pattern ”,판매가,"297,000원"
1,상품명 :  Derby Shoes “ SUEDE BLACK ”,판매가,"302,000원"
2,상품명 : Derby Shoes “ BLACK”,판매가,"302,000원"
3,상품명 : Middle Top Teck-N3 Sneakers “ Black ”,판매가,"254,000원"
4,"상품명 : Original Bowling Sneakers ""BLUE""",판매가,"179,000원"
5,"상품명 : Original Bowling Sneakers ""PINK""",판매가,"179,000원"
6,"상품명 : Original Bowling Sneakers ""BEIGE""",판매가,"179,000원"
7,"상품명 : Boxing Sneakers  ""WHITE""",판매가,"332,000원"
8,"상품명 : Boxing Sneakers  ""KHAKI""",판매가,"332,000원"
9,"상품명 : Boxing Sneakers  ""BLACK-PINK""",판매가,"332,000원"
10,"상품명 : Boxing Sneakers  ""BLACK-SILVER""",판매가,"332,000원"
11,"상품명 : Rila Ribbon Flat Sneakers ""SILVER""",판매가,"248,000원"
12,"상품명 : Rila Ribbon Flat Sneakers ""BLACK""",판매가,"248,000원"
13,"상품명 : Rila Ribbon Flat Sneakers ""WHITE""",판매가,"248,000원"
14,"상품명 : [KYO X NT3] Kidult Mary Jane Sandals ""Neutral""",판매가,"278,000원"
15,"상품명 : [KYO X NT3] Kidult Mary Jane Sandals ""Silver Grey""",판매가,"278,000원"
16,"상품명 : [KYO X NT3] Kidult Mary Jane Sandals ""Black""",판매가,"278,000원"
17,"상품명 : Side zip-up middle boots ""BEIGE""",판매가,"279,000원"
18,"상품명 : Side zip-up middle boots ""BROWN""",판매가,"279,000원"
19,"상품명 : Side zip-up middle boots ""BLACK""",판매가,"279,000원"
20,"상품명 : Mountain padding boots ""KHAKI""",판매가,"337,000원"
21,"상품명 : Mountain padding boots ""BLACK""",판매가,"337,000원"
22,"상품명 : Tassel kimera ankle boots ""YELLOW BEIGE""",판매가,"221,000원"
23,"상품명 : Tassel kimera ankle boots ""BLACK""",판매가,"221,000원"
24,"상품명 : Buckle middle boots ""BEIGE""",판매가,"317,000원"
25,"상품명 : Buckle middle boots ""PINK""",판매가,"328,000원"
26,"상품명 : Buckle middle boots ""BLACK""",판매가,"328,000원"
27,"상품명 : Folded long boots ""KHAKI BROWN""",판매가,"412,000원"
